time,frequency
5.925,293.69332869679005
5.93,293.36546230374944
5.935,297.5834213330791
5.94,293.2344393844461
5.945,295.2333397093562
5.95,293.6322518215542
5.955,293.04414882383855
5.96,290.69209608209644
5.965,295.75094820243964
5.97,292.2210187940347
5.975,291.0884475467917
5.98,290.1489148683983
5.985,293.3124321769624
5.99,289.79461761964734
5.995,295.1269320140094
6.0,292.4241619852881
6.005,290.0973047785977
6.01,292.122285375625
6.015,293.7100940475803
6.02,297.0400746843634
6.025,298.7966237497542
6.03,297.3324276918203
6.035,303.9771076094866
6.04,300.3943166413282
6.045,296.8538942135819
6.05,290.66998539516874
6.055,292.1880349770626
6.06,290.38953943344416
6.065,286.5229827202727
6.07,290.53862558935435
6.075,275.39948594030403
6.08,303.4214821255763
6.085,286.8134714361916
6.09,300.8479317870146
6.095,302.3681730186515
6.1,288.7898287694275
6.105,282.5609585468713
6.11,274.73818890317506
6.115,263.37596625490704
6.12,277.7201868555287
6.125,256.40539394172
6.13,253.00816731467683
6.135,277.6445138999962
6.14,290.8333444988973
6.145,268.2670014211614
6.15,0.0
6.155,0.0
6.16,0.0
6.165,0.0
6.17,0.0
6.175,0.0
6.18,0.0
6.185,0.0
6.19,0.0
6.195,0.0
6.2,0.0
6.205,0.0
6.21,422.50428790357944
6.215,434.0284254191745
6.22,483.94031677806555
6.225,511.3966174328054
6.23,530.6796755375492
6.235,486.82298223309436
6.24,553.6348697720332
6.245,515.6979750273073
6.25,485.27283582777557
6.255,471.50784790506697
6.26,493.48090777154215
6.265,496.9761031530573
6.27,494.4404384381559
6.275,495.6510859520321
6.28,495.64816904458394
6.285,497.6013115604383
6.29,501.72704179412347
6.295,501.354313573483
6.3,501.14266815465936
6.305,503.02646005162677
6.31,502.27656832054384
6.315,500.0756380920398
6.32,500.90351922576383
6.325,500.2894242164577
6.33,499.5942047869195
6.335,497.7156158022816
6.34,496.66556004268205
6.345,499.93189950689225
6.35,498.3924231636276
6.355,497.48501371216935
6.36,496.0795104658607
6.365,496.2850931538793
6.37,496.77326101930964
6.375,499.15764586914594
6.38,499.80208807061894
6.385,498.4179865478302
6.39,498.62118477925173
6.395,498.69285411770653
6.4,497.8180990226471
6.405,500.3163786905327
6.41,498.41648572276455
6.415,497.1720329705464
6.42,498.28929954239163
6.425,495.53697508102664
6.43,497.92764008721457
6.435,492.1439188552129
6.44,493.4381592569657
6.445,494.8687286019008
6.45,491.6770263550545
6.455,488.8361580843638
6.46,490.91407793282485
6.465,489.40843882388896
6.47,482.12501285380034
6.475,479.97843486747934
6.48,482.23243364599307
6.485,486.15141371829793
6.49,486.95786310055746
6.495,486.4588441047144
6.5,487.0371772083807
6.505,485.839039666627
6.51,484.67536809313685
6.515,482.35080190566885
6.52,485.83410103124567
6.525,483.65872840642766
6.53,488.8133053407223
6.535,487.7168998078673
6.54,483.0092140840718
6.545,487.290400706697
6.55,484.96887534245883
6.555,486.52685345651037
6.56,488.1656260922515
6.565,489.0656838130397
6.57,487.04725532368406
6.575,488.4716056796063
6.58,484.5314001359622
6.585,489.3529071991403
6.59,485.6601040893529
6.595,485.6164713648538
6.6,482.4953574383331
6.605,484.6312473032595
6.61,484.67226207654676
6.615,486.21749363018444
6.62,484.5650004276084
6.625,485.8869847600051
6.63,482.8415648998412
6.635,487.2741187730782
6.64,486.9843643294004
6.645,484.44536476891784
6.65,486.50443712579875
6.655,486.69988910917874
6.66,485.40311956528694
6.665,485.577059970602
6.67,485.4104014857446
6.675,487.38562599073714
6.68,486.9070179099249
6.685,484.63863409648224
6.69,487.5210457191939
6.695,483.8527053010812
6.7,485.65892699696184
6.705,483.6552891792459
6.71,482.46972599441307
6.715,483.00822672637725
6.72,483.93866195064453
6.725,482.94355846488054
6.73,479.8601627320175
6.735,482.1497649958318
6.74,482.61255224421035
6.745,483.58954454516453
6.75,483.7349709790797
6.755,486.1574901600634
6.76,486.6200229468401
6.765,483.53065213799476
6.77,484.11211874713945
6.775,485.8224487207968
6.78,486.9879214525414
6.785,484.31785643982516
6.79,485.6930584035052
6.795,482.5185559603201
6.8,485.7250157624805
6.805,482.4170827881416
6.81,485.1398286947593
6.815,484.4397325168613
6.82,486.7508029628237
6.825,486.078182238899
6.83,484.11063450016354
6.835,483.1833270017042
6.84,486.09593775543294
6.845,483.8359594074847
6.85,485.50259099753595
6.855,485.81188242739165
6.86,484.20128106103357
6.865,488.36469154455085
6.87,489.0358188450134
6.875,487.5704105868002
6.88,488.33433088163565
6.885,488.7650714341307
6.89,486.26935408603777
6.895,486.44678194962137
6.9,487.4232334545748
6.905,487.92662728230226
6.91,487.29926323118417
6.915,486.43281992853815
6.92,489.22492332368984
6.925,487.06087801833837
6.93,486.40949366350054
6.935,482.7806283603024
6.94,485.4606574162165
6.945,486.0337495342565
6.95,483.5665019155234
6.955,487.48033255862845
6.96,486.64463804917864
6.965,486.6234467211328
6.97,487.50233624110496
6.975,485.02064470775895
6.98,489.4042548715384
6.985,486.79144721722315
6.99,489.3426245420476
6.995,488.8810156023708
7.0,488.82665786484813
7.005,488.9617671802519
7.01,490.08383265096415
7.015,487.7408518339551
7.02,487.576031524918
7.025,489.1344909056171
7.03,487.93861373109036
7.035,487.8897820501475
7.04,486.2823332910787
7.045,487.33111538479153
7.05,487.73145321059417
7.055,488.1811578480842
7.06,488.8328820913564
7.065,488.9809549162959
7.07,489.2372635360897
7.075,488.2891835074027
7.08,488.36135804683306
7.085,489.9972143240112
7.09,488.9073855096876
7.095,489.6630049639628
7.1,489.79913415162696
7.105,491.64154921209183
7.11,491.05709181710847
7.115,490.5209475570709
7.12,492.14586772744633
7.125,492.2562034155345
7.13,493.14278663063095
7.135,493.3934608152926
7.14,492.63821401376185
7.145,492.058041973076
7.15,490.2505739449091
7.155,489.6545099132844
7.16,487.7988651473934
7.165,486.5828104625631
7.17,488.1037776869653
7.175,490.5802271836966
7.18,488.0267530528918
7.185,489.1859570781716
7.19,489.2611592411203
7.195,490.30433576262953
7.2,489.65587842509274
7.205,489.60265837294156
7.21,488.65740694303787
7.215,489.09249470487515
7.22,488.67497181585344
7.225,489.56905092958505
7.23,489.8592737558555
7.235,487.5534367322304
7.24,485.98461565668663
7.245,487.95416142379145
7.25,487.2526915262712
7.255,486.9189431010839
7.26,486.58741925549606
7.265,484.3736203870675
7.27,486.05949146660123
7.275,483.4254883713618
7.28,486.7219686675088
7.285,483.7616887799011
7.29,485.58778240249785
7.295,484.5990111116314
7.3,485.19548710857026
7.305,484.9366397037155
7.31,486.90170807593665
7.315,488.85268900686106
7.32,488.44939626175454
7.325,487.8340267094831
7.33,485.88631765527344
7.335,487.21184930902825
7.34,486.2690315206934
7.345,484.47574434956476
7.35,484.6885587192302
7.355,485.3355945263868
7.36,485.86095709935876
7.365,487.62000003150433
7.37,486.3068717308586
7.375,486.92980402594475
7.38,488.8036458535079
7.385,488.84355862508846
7.39,488.28326406595016
7.395,488.59485148140146
7.4,487.73538186789443
7.405,487.9206295226664
7.41,488.12179940041534
7.415,487.99215688047525
7.42,487.20320457317695
7.425,487.78171768297807
7.43,486.13292840337084
7.435,484.47360100015857
7.44,486.26043675944254
7.445,485.74693547690174
7.45,485.8902781297726
7.455,486.87910058978696
7.46,487.05224228343565
7.465,484.46969276048657
7.47,485.65615748598645
7.475,487.96206804546415
7.48,487.59463482266034
7.485,488.1575968248171
7.49,487.7090196451269
7.495,489.7704741455884
7.5,489.2979427397034
7.505,489.4544816002778
7.51,492.0206890620358
7.515,491.8207121809831
7.52,495.6151157308948
7.525,496.5544446074724
7.53,497.7189544446439
7.535,500.3960715443313
7.54,499.8315941196873
7.545,499.86520944008504
7.55,498.1554046570579
7.555,498.71222690174983
7.56,496.74756691999306
7.565,496.8420827241345
7.57,494.14212911015517
7.575,493.27118665379845
7.58,492.23421822087954
7.585,492.0539928720537
7.59,490.93271530660155
7.595,487.80047587078235
7.6,487.8784918604102
7.605,486.1473768749187
7.61,485.44487187220824
7.615,485.4037612673716
7.62,484.5192096593676
7.625,486.11025611865205
7.63,485.0563659726585
7.635,485.4089704124166
7.64,484.94323962852883
7.645,484.5043098834333
7.65,485.76530268019405
7.655,484.5910409592163
7.66,485.4059924000962
